,spec,n_mem_states,seed,objective,score
27,tmaze_5_two_thirds_up,,2056,memoryless,1.0628626849598184
28,tmaze_5_two_thirds_up,,2057,memoryless,1.0628681001613054
29,tmaze_5_two_thirds_up,,2058,memoryless,1.0628650216582656
0,tmaze_5_two_thirds_up,,2029,random,0.09554719118517616
1,tmaze_5_two_thirds_up,,2030,random,0.08852581301370084
2,tmaze_5_two_thirds_up,,2031,random,0.09162812092741178
3,tmaze_5_two_thirds_up,,2032,random,0.07214317696910763
4,tmaze_5_two_thirds_up,,2033,random,0.08532773262091287
5,tmaze_5_two_thirds_up,,2034,random,0.07890658145096874
6,tmaze_5_two_thirds_up,,2035,random,0.10273377044155048
7,tmaze_5_two_thirds_up,,2036,random,0.07562307591399968
8,tmaze_5_two_thirds_up,,2037,random,0.08329636200550097
9,tmaze_5_two_thirds_up,,2038,random,0.07954949783688518
10,tmaze_5_two_thirds_up,,2039,random,0.10144651308772466
11,tmaze_5_two_thirds_up,,2040,random,0.08586885050339388
12,tmaze_5_two_thirds_up,,2041,random,0.07830376076930512
13,tmaze_5_two_thirds_up,,2042,random,0.08545245936401592
14,tmaze_5_two_thirds_up,,2043,random,0.09403782338623824
15,tmaze_5_two_thirds_up,,2044,random,0.09462403489574371
16,tmaze_5_two_thirds_up,,2045,random,0.1053030655862458
17,tmaze_5_two_thirds_up,,2046,random,0.10571946432728799
18,tmaze_5_two_thirds_up,,2047,random,0.0803822265048518
19,tmaze_5_two_thirds_up,,2048,random,0.09678150290108659
20,tmaze_5_two_thirds_up,,2049,random,0.07632414770335673
21,tmaze_5_two_thirds_up,,2050,random,0.09395624615445368
22,tmaze_5_two_thirds_up,,2051,random,0.0896200859561393
23,tmaze_5_two_thirds_up,,2052,random,0.10929556194226295
24,tmaze_5_two_thirds_up,,2053,random,0.10711767056803363
25,tmaze_5_two_thirds_up,,2054,random,0.0925450049365607
26,tmaze_5_two_thirds_up,,2055,random,0.07754985155279673
27,tmaze_5_two_thirds_up,,2056,random,0.09493974439211646
28,tmaze_5_two_thirds_up,,2057,random,0.0814199242262221
29,tmaze_5_two_thirds_up,,2058,random,0.06775265976177444
0,tmaze_5_two_thirds_up,8.0,2029,ld,1.0628102077419543
1,tmaze_5_two_thirds_up,8.0,2030,ld,2.019905991703343
2,tmaze_5_two_thirds_up,8.0,2031,ld,2.125107980446124
3,tmaze_5_two_thirds_up,8.0,2032,ld,2.1243566621715173
4,tmaze_5_two_thirds_up,8.0,2033,ld,1.0628632593429288
5,tmaze_5_two_thirds_up,8.0,2034,ld,1.3742816770043125
6,tmaze_5_two_thirds_up,8.0,2035,ld,1.3209380354049032
7,tmaze_5_two_thirds_up,8.0,2036,ld,1.0905384877958175
8,tmaze_5_two_thirds_up,8.0,2037,ld,1.0628599492688928
9,tmaze_5_two_thirds_up,8.0,2038,ld,1.3731867437644163
10,tmaze_5_two_thirds_up,8.0,2039,ld,2.1255279154246596
11,tmaze_5_two_thirds_up,8.0,2040,ld,2.0947757437101924
12,tmaze_5_two_thirds_up,8.0,2041,ld,1.5183272449924323
13,tmaze_5_two_thirds_up,8.0,2042,ld,1.0628610502514912
14,tmaze_5_two_thirds_up,8.0,2043,ld,2.125614666488238
15,tmaze_5_two_thirds_up,8.0,2044,ld,2.1256378260962197
16,tmaze_5_two_thirds_up,8.0,2045,ld,2.026261916449478
17,tmaze_5_two_thirds_up,8.0,2046,ld,2.0747789564640016
18,tmaze_5_two_thirds_up,8.0,2047,ld,2.125633012540643
19,tmaze_5_two_thirds_up,8.0,2048,ld,2.1211055852627716
20,tmaze_5_two_thirds_up,8.0,2049,ld,2.1093794345772263
21,tmaze_5_two_thirds_up,8.0,2050,ld,2.0766677481377993
22,tmaze_5_two_thirds_up,8.0,2051,ld,2.1256881538288237
23,tmaze_5_two_thirds_up,8.0,2052,ld,1.0397452555257467
24,tmaze_5_two_thirds_up,8.0,2053,ld,2.1255451740236113
25,tmaze_5_two_thirds_up,8.0,2054,ld,2.122201335140318
26,tmaze_5_two_thirds_up,8.0,2055,ld,1.8921162103709102
27,tmaze_5_two_thirds_up,8.0,2056,ld,2.076122238750272
28,tmaze_5_two_thirds_up,8.0,2057,ld,1.0628642606800585
29,tmaze_5_two_thirds_up,8.0,2058,ld,1.062861839853639
0,network,,2024,memoryless,140.6759775356746
1,network,,2025,memoryless,140.67350572246428
2,network,,2026,memoryless,140.67102752597037
3,network,,2027,memoryless,140.67430295543662
4,network,,2028,memoryless,140.6703762909187
5,network,,2029,memoryless,140.67871190533162
6,network,,2030,memoryless,140.67094800088236
7,network,,2031,memoryless,140.67699302339085
8,network,,2032,memoryless,140.67295448917764
9,network,,2033,memoryless,140.6702109779212
10,network,,2034,memoryless,140.67395085635735
11,network,,2035,memoryless,140.6734622281117
12,network,,2036,memoryless,140.6696862235492
13,network,,2037,memoryless,140.67465367918066
14,network,,2038,memoryless,140.67715868008347
15,network,,2039,memoryless,140.6761651101572
16,network,,2040,memoryless,140.67462879967843
17,network,,2041,memoryless,140.67804675607542
18,network,,2042,memoryless,140.6753882302256
19,network,,2043,memoryless,140.66756466236674
20,network,,2044,memoryless,140.67213813187274
21,network,,2045,memoryless,140.67073503244896
22,network,,2046,memoryless,140.6676818301016
23,network,,2047,memoryless,140.67318949984735
24,network,,2048,memoryless,140.67423443264164
25,network,,2049,memoryless,140.67660205226372
26,network,,2050,memoryless,140.670972855386
27,network,,2051,memoryless,140.66660782937086
28,network,,2052,memoryless,140.67541599972085
29,network,,2053,memoryless,140.66919562541122
0,network,,2024,random,-255.00629577067957
1,network,,2025,random,-267.32616199147924
2,network,,2026,random,-309.6437666469267
3,network,,2027,random,-265.2623841272313
4,network,,2028,random,-244.981966103016
5,network,,2029,random,-276.5726141824851
6,network,,2030,random,-262.6725236561765
7,network,,2031,random,-294.4532286438887
8,network,,2032,random,-256.28945386325296
9,network,,2033,random,-287.4737760366278
10,network,,2034,random,-263.66504908475855
11,network,,2035,random,-284.8803033144985
12,network,,2036,random,-277.8631628997662
13,network,,2037,random,-298.5746132072045
14,network,,2038,random,-260.6909729320907
15,network,,2039,random,-278.67795552613217
16,network,,2040,random,-256.9456954148221
17,network,,2041,random,-261.48814290971063
18,network,,2042,random,-249.04363721054804
19,network,,2043,random,-309.0648197396725
20,network,,2044,random,-252.55682258967525
21,network,,2045,random,-268.81429908555674
22,network,,2046,random,-302.523065191073
23,network,,2047,random,-285.08002818453843
24,network,,2048,random,-278.25165057478574
25,network,,2049,random,-279.77432691147567
26,network,,2050,random,-260.30839308369843
27,network,,2051,random,-293.3307520698119
28,network,,2052,random,-285.578702545319
29,network,,2053,random,-280.617429448943
0,network,8.0,2024,ld,216.15069269479736
1,network,8.0,2025,ld,167.58408987880324
2,network,8.0,2026,ld,212.9103067328021
3,network,8.0,2027,ld,217.90790421541723
4,network,8.0,2028,ld,183.88860617764436
5,network,8.0,2029,ld,199.11757563767705
6,network,8.0,2030,ld,231.40827599112586
7,network,8.0,2031,ld,216.99447356385411
8,network,8.0,2032,ld,214.0568733862125
9,network,8.0,2033,ld,229.84119025878533
10,network,8.0,2034,ld,224.2238200813532
11,network,8.0,2035,ld,144.39297635753152
12,network,8.0,2036,ld,159.9280905444145
13,network,8.0,2037,ld,220.8518686694377
14,network,8.0,2038,ld,220.80301151673459
15,network,8.0,2039,ld,233.55141537365483
16,network,8.0,2040,ld,214.76574812765165
17,network,8.0,2041,ld,226.08254420982516
18,network,8.0,2042,ld,213.48253864584163
19,network,8.0,2043,ld,215.7317174971324
20,network,8.0,2044,ld,216.1176129958759
21,network,8.0,2045,ld,199.94962713910172
22,network,8.0,2046,ld,218.8121164002661
23,network,8.0,2047,ld,222.43186129567934
24,network,8.0,2048,ld,227.35477443271768
25,network,8.0,2049,ld,218.14177317809248
26,network,8.0,2050,ld,212.23994281458775
27,network,8.0,2051,ld,224.65437308664232
28,network,8.0,2052,ld,190.35826433721527
29,network,8.0,2053,ld,229.0748550513885
0,cheese.95,,2024,memoryless,2.0791194648319786
1,cheese.95,,2025,memoryless,2.079116972530582
2,cheese.95,,2026,memoryless,2.0791211488002412
3,cheese.95,,2027,memoryless,2.0791177058575707
4,cheese.95,,2028,memoryless,2.0791228488138214
5,cheese.95,,2029,memoryless,2.079117586573421
6,cheese.95,,2030,memoryless,2.079116542984825
7,cheese.95,,2031,memoryless,2.0791198528287316
8,cheese.95,,2032,memoryless,2.079118864081401
9,cheese.95,,2033,memoryless,2.0791172211902844
10,cheese.95,,2034,memoryless,2.0791174371366283
11,cheese.95,,2035,memoryless,2.079115834119429
12,cheese.95,,2036,memoryless,2.079118148125288
13,cheese.95,,2037,memoryless,2.079121146033721
14,cheese.95,,2038,memoryless,2.079117441642339
15,cheese.95,,2039,memoryless,2.0791149316116417
16,cheese.95,,2040,memoryless,2.07911999916429
17,cheese.95,,2041,memoryless,2.0791126619000395
18,cheese.95,,2042,memoryless,2.079113846820922
19,cheese.95,,2043,memoryless,2.079118134221205
20,cheese.95,,2044,memoryless,2.0791153936078146
21,cheese.95,,2045,memoryless,2.0791219069628752
22,cheese.95,,2046,memoryless,2.079121773369894
23,cheese.95,,2047,memoryless,2.0791160956138492
24,cheese.95,,2048,memoryless,2.0791166790318076
25,cheese.95,,2049,memoryless,2.079118640093225
26,cheese.95,,2050,memoryless,2.0791154507433935
27,cheese.95,,2051,memoryless,2.079124310737748
28,cheese.95,,2052,memoryless,2.07911450033467
29,cheese.95,,2053,memoryless,2.079115777272989
0,cheese.95,,2024,random,0.17945623641420813
1,cheese.95,,2025,random,0.16918002691470535
2,cheese.95,,2026,random,0.1728488909606742
3,cheese.95,,2027,random,0.1595729534341274
4,cheese.95,,2028,random,0.16215495614070496
5,cheese.95,,2029,random,0.15592705540427323
6,cheese.95,,2030,random,0.1780830632808232
7,cheese.95,,2031,random,0.17302138672381062
8,cheese.95,,2032,random,0.16767806362362947
9,cheese.95,,2033,random,0.16377044949696554
10,cheese.95,,2034,random,0.1717391610944195
11,cheese.95,,2035,random,0.1689424219425071
12,cheese.95,,2036,random,0.1648455213819727
13,cheese.95,,2037,random,0.18590905547055883
14,cheese.95,,2038,random,0.16433058430880002
15,cheese.95,,2039,random,0.17003986624427755
16,cheese.95,,2040,random,0.17198891461671376
17,cheese.95,,2041,random,0.1609080295064613
18,cheese.95,,2042,random,0.17839567049616636
19,cheese.95,,2043,random,0.17090048402039634
20,cheese.95,,2044,random,0.19133234608214333
21,cheese.95,,2045,random,0.1707005117804275
22,cheese.95,,2046,random,0.1902293450646832
23,cheese.95,,2047,random,0.17564997104341196
24,cheese.95,,2048,random,0.19954450264329696
25,cheese.95,,2049,random,0.15517451858764644
26,cheese.95,,2050,random,0.1821758143381885
27,cheese.95,,2051,random,0.1745914464602994
28,cheese.95,,2052,random,0.14494106764058207
29,cheese.95,,2053,random,0.1693402595995388
0,cheese.95,4.0,2024,ld,3.4399483086091904
1,cheese.95,4.0,2025,ld,3.550859759549348
2,cheese.95,4.0,2026,ld,3.4702823469368926
3,cheese.95,4.0,2027,ld,3.5782706273302067
4,cheese.95,4.0,2028,ld,3.4671708715642553
5,cheese.95,4.0,2029,ld,3.5595996673447052
6,cheese.95,4.0,2030,ld,3.4681403190372055
7,cheese.95,4.0,2031,ld,3.5769356907852106
8,cheese.95,4.0,2032,ld,3.5669871843435863
9,cheese.95,4.0,2033,ld,3.5602731573154407
10,cheese.95,4.0,2034,ld,3.510003950322589
11,cheese.95,4.0,2035,ld,3.4715830095600144
12,cheese.95,4.0,2036,ld,3.5522935291321756
13,cheese.95,4.0,2037,ld,3.1264797061986993
14,cheese.95,4.0,2038,ld,3.5762450706583904
15,cheese.95,4.0,2039,ld,3.5360643680149924
16,cheese.95,4.0,2040,ld,2.759782992778538
17,cheese.95,4.0,2041,ld,2.760825940236596
18,cheese.95,4.0,2042,ld,3.5574673109603085
19,cheese.95,4.0,2043,ld,3.51681934665923
20,cheese.95,4.0,2044,ld,2.7801251952356196
21,cheese.95,4.0,2045,ld,3.5468159931203833
22,cheese.95,4.0,2046,ld,3.565522541818284
23,cheese.95,4.0,2047,ld,3.5760697633418244
24,cheese.95,4.0,2048,ld,3.5784317701556354
25,cheese.95,4.0,2049,ld,3.57841767930801
26,cheese.95,4.0,2050,ld,2.846358726009678
27,cheese.95,4.0,2051,ld,3.47161186806938
28,cheese.95,4.0,2052,ld,3.261919352660926
29,cheese.95,4.0,2053,ld,2.8638317780119085
0,cheese.95,8.0,2024,ld,3.5774211026836378
1,cheese.95,8.0,2025,ld,3.5768143517107265
2,cheese.95,8.0,2026,ld,3.576699635061491
3,cheese.95,8.0,2027,ld,3.562507775393349
4,cheese.95,8.0,2028,ld,3.550945212106746
5,cheese.95,8.0,2029,ld,3.5696523723742337
6,cheese.95,8.0,2030,ld,3.5770848574317813
7,cheese.95,8.0,2031,ld,3.575498280285282
8,cheese.95,8.0,2032,ld,3.554428594366044
9,cheese.95,8.0,2033,ld,3.574395913237164
10,cheese.95,8.0,2034,ld,3.0555676986327787
11,cheese.95,8.0,2035,ld,3.210997808117065
12,cheese.95,8.0,2036,ld,3.469418790707697
13,cheese.95,8.0,2037,ld,3.5760706441370984
14,cheese.95,8.0,2038,ld,3.570401832021058
15,cheese.95,8.0,2039,ld,3.5023514512796527
16,cheese.95,8.0,2040,ld,3.576963420123957
17,cheese.95,8.0,2041,ld,3.577523916923227
18,cheese.95,8.0,2042,ld,3.5714703860388526
19,cheese.95,8.0,2043,ld,3.4709905546307684
20,cheese.95,8.0,2044,ld,3.575676961890115
21,cheese.95,8.0,2045,ld,3.5767006994569575
22,cheese.95,8.0,2046,ld,3.4715844144670482
23,cheese.95,8.0,2047,ld,3.5761835018470256
24,cheese.95,8.0,2048,ld,3.5775757156189236
25,cheese.95,8.0,2049,ld,3.4802281541067392
26,cheese.95,8.0,2050,ld,3.575809929676518
27,cheese.95,8.0,2051,ld,3.5767577502552075
28,cheese.95,8.0,2052,ld,3.565278023830814
29,cheese.95,8.0,2053,ld,3.470108492623812
0,tiger-alt-start,,2024,memoryless,-13.75154744766572
1,tiger-alt-start,,2025,memoryless,-15.109512900682493
2,tiger-alt-start,,2026,memoryless,-7.443745458424046
3,tiger-alt-start,,2027,memoryless,-11.98700361073523
4,tiger-alt-start,,2028,memoryless,-17.35421513875775
5,tiger-alt-start,,2029,memoryless,-7.718092124719233
6,tiger-alt-start,,2030,memoryless,-21.886641153509693
7,tiger-alt-start,,2031,memoryless,-11.580272891415909
8,tiger-alt-start,,2032,memoryless,-15.52504690282462
9,tiger-alt-start,,2033,memoryless,-9.605286126732075
10,tiger-alt-start,,2034,memoryless,-8.333085378077282
11,tiger-alt-start,,2035,memoryless,-16.641535923264296
12,tiger-alt-start,,2036,memoryless,-13.167891807757552
13,tiger-alt-start,,2037,memoryless,-7.977472776285502
14,tiger-alt-start,,2038,memoryless,-9.521333240620596
15,tiger-alt-start,,2039,memoryless,-20.039405440258026
16,tiger-alt-start,,2040,memoryless,-11.8519719103713
17,tiger-alt-start,,2041,memoryless,-17.276294495091527
18,tiger-alt-start,,2042,memoryless,-7.575786178950871
19,tiger-alt-start,,2043,memoryless,-10.810123409781678
20,tiger-alt-start,,2044,memoryless,-10.021816348663911
21,tiger-alt-start,,2045,memoryless,-14.070713656125253
22,tiger-alt-start,,2046,memoryless,-8.177247342184234
23,tiger-alt-start,,2047,memoryless,-10.371606803669387
24,tiger-alt-start,,2048,memoryless,-11.643774307659337
25,tiger-alt-start,,2049,memoryless,-13.95748841425596
26,tiger-alt-start,,2050,memoryless,-12.236034703922485
27,tiger-alt-start,,2051,memoryless,-15.792344615197457
28,tiger-alt-start,,2052,memoryless,-9.672668630922288
29,tiger-alt-start,,2053,memoryless,-7.294797600829366
0,tiger-alt-start,,2024,random,-50.37737258826023
1,tiger-alt-start,,2025,random,-51.044426264103876
2,tiger-alt-start,,2026,random,-50.130161323239435
3,tiger-alt-start,,2027,random,-51.77841992235356
4,tiger-alt-start,,2028,random,-50.34916698064992
5,tiger-alt-start,,2029,random,-51.3857594153672
6,tiger-alt-start,,2030,random,-50.94038520786206
7,tiger-alt-start,,2031,random,-52.22727710578933
8,tiger-alt-start,,2032,random,-51.01540483465353
9,tiger-alt-start,,2033,random,-49.831990862123355
10,tiger-alt-start,,2034,random,-51.329563176590526
11,tiger-alt-start,,2035,random,-50.33311537945176
12,tiger-alt-start,,2036,random,-49.881665933955176
13,tiger-alt-start,,2037,random,-49.70040269736385
14,tiger-alt-start,,2038,random,-50.72537994754178
15,tiger-alt-start,,2039,random,-50.429602226805834
16,tiger-alt-start,,2040,random,-49.92396950018686
17,tiger-alt-start,,2041,random,-50.90665383038891
18,tiger-alt-start,,2042,random,-49.813874639818664
19,tiger-alt-start,,2043,random,-49.71243439884018
20,tiger-alt-start,,2044,random,-50.91925665051864
21,tiger-alt-start,,2045,random,-50.12831828640425
22,tiger-alt-start,,2046,random,-49.8670567083982
23,tiger-alt-start,,2047,random,-50.17116977024178
24,tiger-alt-start,,2048,random,-50.58758401882892
25,tiger-alt-start,,2049,random,-50.80777909571175
26,tiger-alt-start,,2050,random,-50.75439607996225
27,tiger-alt-start,,2051,random,-50.661068235790694
28,tiger-alt-start,,2052,random,-50.117352421716994
29,tiger-alt-start,,2053,random,-51.603295033040425
0,tiger-alt-start,2.0,2024,ld,-10.161480188400754
1,tiger-alt-start,2.0,2025,ld,-14.986907057680995
2,tiger-alt-start,2.0,2026,ld,-6.929172639316569
3,tiger-alt-start,2.0,2027,ld,-15.564350701527559
4,tiger-alt-start,2.0,2028,ld,-15.44828178076577
5,tiger-alt-start,2.0,2029,ld,-11.01029652914848
6,tiger-alt-start,2.0,2030,ld,-8.955043142904593
7,tiger-alt-start,2.0,2031,ld,-4.752722523196604
8,tiger-alt-start,2.0,2032,ld,-3.6714239205687558
9,tiger-alt-start,2.0,2033,ld,-2.090295236442921
10,tiger-alt-start,2.0,2034,ld,-12.592997956102614
11,tiger-alt-start,2.0,2035,ld,-3.071291455088458
12,tiger-alt-start,2.0,2036,ld,-3.6331775493815295
13,tiger-alt-start,2.0,2037,ld,-15.517606504271946
14,tiger-alt-start,2.0,2038,ld,-19.553605769721557
15,tiger-alt-start,2.0,2039,ld,-15.502367903589972
16,tiger-alt-start,2.0,2040,ld,-6.275536002680897
17,tiger-alt-start,2.0,2041,ld,-7.108691769960476
18,tiger-alt-start,2.0,2042,ld,-5.719509357251395
19,tiger-alt-start,2.0,2043,ld,-14.048893417170623
20,tiger-alt-start,2.0,2044,ld,-3.131110689486636
21,tiger-alt-start,2.0,2045,ld,-13.264250594412317
22,tiger-alt-start,2.0,2046,ld,-3.895872949061446
23,tiger-alt-start,2.0,2047,ld,-5.332634538070762
24,tiger-alt-start,2.0,2048,ld,-11.791348931250955
25,tiger-alt-start,2.0,2049,ld,-8.834740119266748
26,tiger-alt-start,2.0,2050,ld,-1.1990831460218234
27,tiger-alt-start,2.0,2051,ld,-1.0017598097091502
28,tiger-alt-start,2.0,2052,ld,-2.8588959526988305
29,tiger-alt-start,2.0,2053,ld,-8.874864910178541
0,shuttle.95,,2028,memoryless,18.922962544385836
1,shuttle.95,,2029,memoryless,18.923092627268197
2,shuttle.95,,2030,memoryless,18.923039614115613
3,shuttle.95,,2031,memoryless,18.922927154745192
4,shuttle.95,,2032,memoryless,18.922763023514843
5,shuttle.95,,2033,memoryless,18.92288676780959
6,shuttle.95,,2034,memoryless,18.92288810550609
7,shuttle.95,,2035,memoryless,18.922900600934376
8,shuttle.95,,2036,memoryless,18.92286629799221
9,shuttle.95,,2037,memoryless,18.922752773361555
10,shuttle.95,,2038,memoryless,18.92303800741216
11,shuttle.95,,2039,memoryless,18.922763666803107
12,shuttle.95,,2040,memoryless,18.92302597367804
13,shuttle.95,,2041,memoryless,18.922832688836717
14,shuttle.95,,2042,memoryless,18.922621246158087
15,shuttle.95,,2043,memoryless,18.92245427659885
16,shuttle.95,,2044,memoryless,18.92271090086949
17,shuttle.95,,2045,memoryless,18.92305908157293
18,shuttle.95,,2046,memoryless,18.922464102439598
19,shuttle.95,,2047,memoryless,18.92243752715153
20,shuttle.95,,2048,memoryless,18.922982518461676
21,shuttle.95,,2049,memoryless,18.923106698941652
22,shuttle.95,,2050,memoryless,18.922836430395495
23,shuttle.95,,2051,memoryless,18.922708300689973
24,shuttle.95,,2052,memoryless,18.923016642696442
25,shuttle.95,,2053,memoryless,18.922655069701552
26,shuttle.95,,2054,memoryless,18.923041776618337
27,shuttle.95,,2055,memoryless,18.923020393496934
28,shuttle.95,,2056,memoryless,18.922922987661803
29,shuttle.95,,2057,memoryless,18.922623480305855
0,shuttle.95,,2028,random,-8.191104703495313
1,shuttle.95,,2029,random,-8.90130942317688
2,shuttle.95,,2030,random,-6.308338932621092
3,shuttle.95,,2031,random,-8.287767249723581
4,shuttle.95,,2032,random,-6.995599823097213
5,shuttle.95,,2033,random,-9.724826115354908
6,shuttle.95,,2034,random,-7.653957293099943
7,shuttle.95,,2035,random,-7.341074441024089
8,shuttle.95,,2036,random,-9.492756813794756
9,shuttle.95,,2037,random,-8.764324376155546
10,shuttle.95,,2038,random,-6.944729827780873
